City	Province	Annotation
Tingwick	QC	Auto
Ditton	QC	Auto
Mont Saint-Michel	QC	Auto
Senneterre	QC	Auto
Saint-Jean-Sur-Richelieu	QC	Auto
Granby	QC	Auto
Kingston	ON	Auto
Mississauga	ON	Auto
Brampton	ON	Auto
Thunder Bay	ON	Auto
London	ON	Auto
Peterborough	ON	Auto
Cornwall	ON	Auto
St. Catharines	ON	Auto
Brantford	ON	Auto
Kitchener	ON	Auto
Oakville	ON	Auto
Oshawa	ON	Auto
Guelph	ON	Auto
North Bay	ON	Auto
Tiverton	ON	Auto
Burlington	ON	Auto
Dorset	ON	Auto
Grand Bend	ON	Auto
Barrie	ON	Auto
Newmarket	ON	Auto
Parry Sound	ON	Auto
Port Stanley	ON	Auto
Belleville	ON	Auto
Chatham	ON	Auto
Winnipeg	MB	Auto
Brandon	MB	Auto
Metro Van - New Westminster	BC	Auto
Metro Van - West Vancouver	BC	Auto
Agassiz	BC	Auto
Metro Van-Hope	BC	Auto
Mission	BC	Auto
Whitehorse	YU	Auto
Happy Valley - Goose Bay	NL	Auto
Port Aux Choix	NL	Auto
Kejimkujik	NS	Auto
Chapais	QC	Auto
Frelighsburg	QC	Auto
Exp. Lakes Area	ON	Auto
Algoma	ON	Auto
Egbert	ON	Auto
Pickle Lake	ON	Auto
Moonbeam	ON	Auto
Pinehouse Lake	SK	Auto
Flat Valley	SK	Auto
Joussard	AB	Auto
Metro Van - Coquitlam	BC	Auto
Saturna	BC	Auto
Alert	NT	Auto
Snare Rapids	NT	Auto
Wood Buffalo National Park	NT	Auto
Saint-François	QC	Manual
Lac-Edouard	QC	Manual
Petawawa	ON	Manual
Thompson	MB	Manual
Violet Grove	AB	Manual
Prince George	BC	Manual
Victoria	BC	Manual
Kamloops	BC	Manual
Kelowna	BC	Manual
Squamish	BC	Manual
Quesnel	BC	Manual
Cranbrook	BC	Manual
Nanaimo	BC	Manual
Trail	BC	Manual
Powell River	BC	Manual
Smithers	BC	Manual
Terrace	BC	Manual
Port Alberni	BC	Manual
Williams Lake	BC	Manual
Campbell River	BC	Manual
Golden	BC	Manual
Castlegar	BC	Manual
Pine River	ON	Manual
Kitimat	BC	Manual
Vernon	BC	Manual
Grand Forks	BC	Manual
Taylor	BC	Manual
Bessborough	SK	Manual
Farmington	BC	Manual
Duncan	BC	Manual
Whistler	BC	Manual
Houston	BC	Manual
Burns Lake	BC	Manual
Langdale	BC	Manual
Fort St. John	BC	Manual
Valemount	BC	Manual
Crofton	BC	Manual
Vanderhoof	BC	Manual
Courtenay	BC	Manual
Iqaluit	NU	Manual
Norton - Kings County	NB	Manual
Sutton	QC	Manual
L'assomption	QC	Manual
Mingan	QC	Manual
Ucluelet	BC	Manual
Fundy Nat. Park	NB	Manual
Point Lepreau	NB	Manual
St. Leonard	QC	Manual
Varennes	QC	Manual
Stukely-Sud	QC	Manual
Lemieux	QC	Manual
Esther	AB	Manual
Bitumount	AB	Manual
Creston	BC	Manual
Nelson	BC	Manual
Tomslake	BC	Manual
Telkwa	BC	Manual
Doig River	BC	Manual
Port Alice	BC	Manual
